Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,"Today Trading Date/Price[$], Today price vs Signal"
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",Daily,No Exit Yet,No Price Target,2026-02-12 (Avg),4.99%/7.29%,"-4.32%, 4.2 months","2026-02-11 (Price: 5.6700), 5.81% below",6.2391 (Historic Rise or Fall to Pivot)/6.2084 (Avg % Gain of Historic Winning trades)/6.18 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/6.3818 (Backtested Max)/6.0477 (Backtested Min),2026-10-04 (Max),5.57/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,3.36% below/4.32% below/4.32% below,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,5.93,"2026-02-13 (Price: 5.76), 4.32% below"
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,46.5562 (Avg % Gain of Historic Winning trades),No Date Target,2.43%/6.42%,"8.57%, 2.1 months","2026-02-10 (Price: 44.2000), 3.20% above",54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.69,"100.0%, Past 5 years, 16",No Information,No Information,No Information,"23.66% (Price: 42.2713), 10.0% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),portfolio_target_achieved,43.17,"2026-02-13 (Price: 46.5), 8.57% above"
FRACTAL TRACK,"XLU, Long, 2025-06-30 (Price: 40.83)",Monthly,No Exit Yet,46.7626 (Avg % Gain of Historic Winning trades),No Date Target,6.28%/6.42%,"13.89%, 7.6 months","2026-02-10 (Price: 44.2000), 8.25% above",49.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/49.5554 (Backtested Max),2033-12-01 (Max)/2026-10-25 (Min)/2027-12-03 (Avg),29.46/29.48/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",No Information,No Information,No Information,"38.2% (Price: 36.2348), 28.33% above, Upmove Bounce Back","2023-10-31 (Price: 27.385), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),portfolio_target_achieved,40.785,"2026-02-13 (Price: 46.5), 13.89% above"
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),1.66%/6.24%,"7.32%, 16 days","2026-02-10 (Price: 44.2000), 2.01% above",47.273 (Avg % Gain of Historic Winning trades)/49.4 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/55.0941 (Backtested Max),2026-12-28 (Max)/2026-05-20 (Avg),No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.69,"80.0%, Past 6 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,16.95%,4.08%,12.87%,0.47,0.18,100.0%/41/27 days (Across ALL Assets),83.5%/400/27 days (Across ALL Assets),portfolio_target_achieved,43.5,"2026-02-13 (Price: 46.5), 7.32% above"
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-13 (Price: 98.78),101.1286 (Historic Rise or Fall to Pivot),No Date Target,3.09%/14.75%,"24.08%, 3.5 months","2026-02-10 (Price: 100.1900), 25.85% above",101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",No Information,No Information,No Information,"23.66% (Price: 74.8871), 31.91% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),portfolio_target_achieved,79.32,"2026-02-13 (Price: 98.78), 24.08% above"
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-13 (Price: 98.78),99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades),No Date Target,13.13%/24.74%,"25.85%, 7.6 months","2026-02-10 (Price: 100.1900), 27.65% above",135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",No Information,No Information,No Information,"38.2% (Price: 61.7578), 59.95% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),portfolio_target_achieved,77.78,"2026-02-13 (Price: 98.78), 25.85% above"
TRENDPULSE,"SJ.TO, Long, 2026-01-11 (Price: 88.81)",Weekly,No Exit Yet,99.0942 (Historic Rise or Fall to Pivot)/97.8686 (Avg % Gain of Historic Winning trades),No Date Target,11.39%/12.54%,"11.23%, 1.1 month","2026-02-10 (Price: 100.1900), 12.81% above",111.17 (Function Specific Target)/123.2166 (F-Stack 2)/110.0356 (Backtested Max),2027-06-16 (Max)/2026-03-04 (Min)/2026-08-03 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/78.08,"84.62%, Past 10 years, 26",No Information,No Information,No Information,No Information,No Information,11.23% above/12.74% above/11.23% above,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,12.95%,11.64%,1.31%,0.84,0.65,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,86.08,"2026-02-13 (Price: 98.78), 11.23% above"
FRACTAL TRACK,"AMZN, Long, 2026-01-04 (Price: 226.5)",Weekly,No Exit Yet,No Price Target,2026-02-13 (Min),33.15%/34.29%,"-12.23%, 1.3 month","2026-02-10 (Price: 206.9600), 8.63% below",266.9529 (Historic Rise or Fall to Pivot)/264.6879 (Avg % Gain of Historic Winning trades)/284.83 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/297.2812 (Backtested Max),2030-01-01 (Max)/2026-11-21 (Avg),213.04/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/223.62,"93.75%, Past 20 years, 16",No Information,No Information,No Information,"38.2% (Price: 221.462), 10.24% below, Upmove Bounce Back","2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",No Information,31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,13.55%,17.13%,-3.58%,1.66,0.81,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),portfolio_target_achieved,231.94,"2026-02-13 (Price: 198.79), 12.23% below"
DELTADRIFT,"AMZN, Long, 2026-02-11 (Price: 203.88)",Daily,No Exit Yet,No Price Target,2026-02-12 (Min),4.6%/7.84%,"-2.5%, 2 days","2026-02-10 (Price: 206.9600), 1.51% above",216.9691 (Historic Rise or Fall to Pivot)/214.3798 (Avg % Gain of Historic Winning trades)/215.67 (Function Specific Target)/239.3 (Horizontal)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/223.62 (EMA 200)/225.8583 (Backtested Max)/207.9372 (Backtested Min),2026-03-20 (Max)/2026-02-22 (Avg),200.99/86.995/193.0625/132.2674/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,10.78%/1.99%/5.15%,"17.68%, 17.68%",26 days/1 day/8 days,7.43%,4.18%,3.25%,0.18,0.24,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),portfolio_target_achieved,208.07,"2026-02-13 (Price: 198.79), 2.5% below"
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",Daily,2026-02-09 (Price: 325.6),No Price Target,2026-02-12 (Avg),2.41%/12.96%,"2.48%, 1.9 month","2026-02-10 (Price: 325.9700), 1.98% above",382.93 (Function Specific Target)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/335.4727 (Backtested Max),2026-06-05 (Max),300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,"85.0%, Past 4 years, 20",No Information,No Information,No Information,No Information,No Information,2.79% above/2.48% above/2.48% above,4.95%/0.71%/2.34%,"0.45%, 11.38%",3.9 months/6 days/1.3 month,11.02%,4.75%,6.27%,0.76,0.23,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,319.38,"2026-02-13 (Price: 327.58), 2.48% above"
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,326.5736 (Avg % Gain of Historic Winning trades),No Date Target,1.35%/5.32%,"5.25%, 2.3 months","2026-02-10 (Price: 325.9700), 4.74% above",331.989 (Historic Rise or Fall to Pivot)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-06-11 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,5.25% above/5.25% above/5.25% above,10.85%/1.47%/4.93%,"-0.0%, 16.82%",10.3 months/1.2 month/4.3 months,7.73%,6.98%,0.75%,1.39,0.42,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,309.48,"2026-02-13 (Price: 327.58), 5.25% above"
TRENDPULSE,"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",Weekly,2026-02-13 (Price: 55.39),56.1127 (Backtested Max),No Date Target,18.86%/23.94%,"17.58%, 2.7 months","2026-02-10 (Price: 53.0300), 12.57% above",65.8353 (F-Stack 1)/68.6522 (F-Stack 2),2026-04-24 (Max),41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,"86.36%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,24.75% above/16.46% above/17.58% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,-1.83%,3.94%,-5.77%,0.27,0.24,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,47.0,"2026-02-13 (Price: 55.39), 17.58% above"
TRENDPULSE,"CNQ.TO, Long, 2025-06-15 (Price: 45.9)",Weekly,2026-02-13 (Price: 55.39),54.6715 (Backtested Max),No Date Target,18.86%/23.94%,"20.68%, 8.1 months","2026-02-10 (Price: 53.0300), 15.53% above",65.8353 (F-Stack 1)/68.6522 (F-Stack 2),No Next Date Target,37.72/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/44.38,"86.36%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,28.07% above/25.8% above/20.68% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,-1.83%,3.94%,-5.77%,0.27,0.24,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,43.42,"2026-02-13 (Price: 55.39), 20.68% above"
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-13 (Price: 190.12),No Price Target,No Date Target,7.49%/10.4%,"7.72%, 8.6 months","2026-02-10 (Price: 188.4200), 6.75% above",209.8938 (Historic Rise or Fall to Pivot)/204.3517 (Avg % Gain of Historic Winning trades)/279.99 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-09 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,7.72% above/10.87% above/7.72% above,24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,8.62%,19.19%,-10.57%,2.59,1.27,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),portfolio_target_achieved,170.49,"2026-02-13 (Price: 190.12), 7.72% above"
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,No Exit Yet,No Price Target,2026-02-15 (Min),10.68%/13.52%,"-2.47%, 3 months","2026-02-10 (Price: 188.4200), 3.34% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-02-15 (Min)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/188.44,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets),portfolio_target_achieved,184.95,"2026-02-13 (Price: 190.12), 2.47% below"
BASELINEDIVERGENCE,"NVDA, Long, 2025-12-14 (Price: 175.02)",Weekly,2026-02-13 (Price: 182.81),No Price Target,No Date Target,20.28%/31.23%,"4.45%, 2 months","2026-02-10 (Price: 188.5400), 7.72% above",219.8776 (Historic Rise or Fall to Pivot)/245.6406 (Avg % Gain of Historic Winning trades)/239.8943 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/482.7577 (Backtested Max),2027-01-04 (Max)/2026-03-15 (Min)/2026-06-05 (Avg),167.02/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level/171.68,"83.7%, Past 10 years, 92",No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,75.78%,46.22%,29.56%,0.69,1.86,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets),portfolio_target_achieved,182.64,"2026-02-13 (Price: 182.81), 4.45% above"
FRACTAL TRACK,"MSFT, Long, 2025-12-14 (Price: 478.53)",Weekly,No Exit Yet,No Price Target,2026-02-12 (Min),21.44%/27.49%,"-16.13%, 2 months","2026-02-10 (Price: 413.2700), 13.64% below",511.6443 (Historic Rise or Fall to Pivot)/554.712 (Avg % Gain of Historic Winning trades)/604.93 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/487.38 (EMA 200)/598.2582 (Backtested Max)/511.7878 (Backtested Min),2031-03-27 (Max)/2027-04-23 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 16",No Information,No Information,No Information,"38.2% (Price: 474.9779), 15.51% below, Upmove Bounce Back","2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",No Information,25.02%/6.95%/15.92%,"0%, 45.68%",3.7 years/1.4 month/11.4 months,11.58%,10.65%,0.93%,3.32,0.59,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),portfolio_target_achieved,484.89,"2026-02-13 (Price: 401.32), 16.13% below"
FRACTAL TRACK,"JPM, Long, 2026-01-16 (Price: 312.47)",Daily,No Exit Yet,No Price Target,2026-02-15 (Min),8.72%/12.54%,"-3.17%, 28 days","2026-02-10 (Price: 318.2800), 1.86% above",342.8108 (Avg % Gain of Historic Winning trades)/340.5 (Function Specific Target)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/373.6516 (Backtested Max),2029-03-08 (Max)/2026-02-15 (Min)/2026-06-17 (Avg),307.87/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/296.99,"100.0%, Past 5 years, 20",No Information,No Information,No Information,"50% (Price: 313.895), 3.61% below, Upmove Bounce Back","2025-10-22 (Price: 290.54), 2026-01-05 (Price: 337.25)",No Information,19.58%/1.16%/9.71%,"-0.0%, 39.69%",2.2 years/21 days/3.5 months,33.39%,14.23%,19.16%,1.48,0.83,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),portfolio_target_achieved,310.35,"2026-02-13 (Price: 302.55), 3.17% below"
DELTADRIFT,"NFLX, Long, 2025-12-28 (Price: 94.47)",Weekly,2026-02-13 (Price: 76.87),No Price Target,No Date Target,40.95%/41.75%,"-18.63%, 1.6 month","2026-02-10 (Price: 82.2100), 12.98% below",108.9617 (Historic Rise or Fall to Pivot)/109.708 (Avg % Gain of Historic Winning trades)/109.33 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/111.63 (EMA 200)/110.9834 (Backtested Max)/108.3476 (Backtested Min),2026-06-06 (Max)/2026-04-02 (Avg),94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,0.19%,16.07%,-15.88%,-0.03,0.7,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),portfolio_target_achieved,94.71,"2026-02-13 (Price: 76.87), 18.63% below"
DELTADRIFT,"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),12.78%/14.5%,"-9.8%, 3 days","2026-02-10 (Price: 2984.6001), 0.00% below",3185.1652 (Historic Rise or Fall to Pivot)/3082.495 (Avg % Gain of Historic Winning trades)/3133.83 (Function Specific Target)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3195.88 (EMA 200)/3154.1254 (Backtested Max)/3036.2337 (Backtested Min),2026-03-12 (Max)/2026-02-24 (Avg),2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.67%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,12.04%,-0.2%,12.24%,0.76,-0.13,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),portfolio_target_achieved,2949.8,"2026-02-13 (Price: 2692.2), 9.8% below"
SIGMASHELL,"BTI, Long, 2025-10-01 (Price: 52.28)",Daily,2026-02-11 (Price: 60.33),No Price Target,No Date Target,11.29%/38.19%,"13.81%, 4.5 months","2026-02-10 (Price: 60.1900), 15.13% above",82.226 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.2178 (Backtested Max),2026-11-22 (Max)/2026-03-15 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/No EMA 200 Support,"77.78%, Past 5 years, 9","-6.68, 92.86%",No Information,No Information,No Information,No Information,No Information,26.66%/0.22%/7.55%,"3.83%, 21.48%",9.6 months/1.9 month/3.8 months,7.97%,7.13%,0.84%,0.5,0.36,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets),portfolio_target_achieved,53.18,"2026-02-13 (Price: 59.5), 13.81% above"
FRACTAL TRACK,"BN.TO, Long, 2026-02-05 (Price: 60.67)",Daily,No Exit Yet,No Price Target,2026-02-13 (Min),2.43%/5.63%,"7.24%, 8 days","2026-02-10 (Price: 64.7100), 6.66% above",66.6399 (Avg % Gain of Historic Winning trades)/82.29 (Function Specific Target)/68.7243 (F-Stack 1)/78.4091 (F-Stack 2)/68.9575 (Backtested Max),2029-10-22 (Max)/2026-11-05 (Avg),60.2/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.65%, Past 2 years, 23",No Information,No Information,No Information,"23.66% (Price: 59.9129), 8.59% above, Upmove Bounce Back","2023-12-12 (Price: 32.4), 2026-01-06 (Price: 68.44)",No Information,13.66%/1.8%/9.84%,"1.86%, 36.05%",2.6 years/6 days/6.3 months,32.86%,12.33%,20.53%,1.73,0.66,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),portfolio_target_achieved,61.81,"2026-02-13 (Price: 65.06), 7.24% above"
TRENDPULSE,"COIN, Long, 2025-06-29 (Price: 353.43)",Weekly,No Exit Yet,No Price Target,2026-02-14 (Avg),188.93%/218.46%,"-53.51%, 7.6 months","2026-02-10 (Price: 162.5100), 54.02% below",474.7625 (Avg % Gain of Historic Winning trades)/523.2877 (F-Stack 2)/563.7915 (Backtested Max),2026-07-29 (Max)/2026-02-14 (Avg),160.55/86.505/234.936/157.903/No F-Track Level/No F-Track Level/237.22,"100.0%, Past 10 years, 7",No Information,No Information,No Information,No Information,No Information,46.72% below/53.51% below/53.51% below,59.52%/2.91%/34.33%,"-0.0%, 53.28%",9.1 months/1.2 month/5.3 months,77.87%,-11.61%,89.48%,1.25,0.21,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,302.08,"2026-02-13 (Price: 164.32), 53.51% below"
TRENDPULSE,"CNR.TO, Long, 2026-01-16 (Price: 139.28)",Daily,2026-02-13 (Price: 146.42),No Price Target,No Date Target,1.76%/6.62%,"5.13%, 28 days","2026-02-10 (Price: 143.7700), 3.22% above",156.12 (Function Specific Target)/171.0825 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/149.0017 (Backtested Max),2026-05-17 (Max),134.0/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/135.98,"85.19%, Past 4 years, 27",No Information,No Information,No Information,No Information,No Information,6.12% above/5.13% above/5.13% above,6.98%/0.37%/2.24%,"18.84%, 26.48%",2.8 months/4 days/15 days,6.19%,1.18%,5.01%,-0.03,-0.0,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,137.77,"2026-02-13 (Price: 146.42), 5.13% above"
SIGMASHELL,"TRI.TO, Long, 2025-11-04 (Price: 206.63)",Daily,No Exit Yet,No Price Target,2026-02-11 (Max),76.12%/76.66%,"-42.68%, 3.4 months","2026-02-10 (Price: 123.1700), 40.39% below",209.2542 (Historic Rise or Fall to Pivot)/226.4871 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/223.36 (EMA 200)/234.0705 (Backtested Max)/208.6136 (Backtested Min),No Next Date Target,No Recent Minima/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 5 years, 10","-3.94, 62.5%",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,11.85%,6.18%,5.67%,0.52,0.33,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets),portfolio_target_achieved,221.1,"2026-02-13 (Price: 118.45), 42.68% below"
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,2026-02-08 (Price: 185.9),No Price Target,2026-02-11 (Min),5.47%/24.79%,"20.5%, 1.8 month","2026-02-10 (Price: 196.0300), 18.89% above",247.93 (Function Specific Target)/209.546 (Backtested Max),2026-06-30 (Max)/2026-04-04 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"90.32%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,20.5% above/20.5% above/20.5% above,27.09%/5.0%/13.6%,"25.2%, 49.41%",4.4 months/1.2 month/2.4 months,8.5%,7.59%,0.91%,0.74,0.39,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),portfolio_target_achieved,163.7,"2026-02-13 (Price: 198.68), 20.5% above"
